OBJECTID;Name;descriptio;timestamp;begin;end;altitudeMo;tessellate;extrude;visibility;drawOrder;icon;OID_;FolderPath;SymbolID;AltMode;Base;Clamped;Extruded;Snippet;PopupInfo;Shape_Leng;layer;path;descript_1;altitude_1;X_Point;Y_Point;X_Point_UTM;Y_Point_UTM;X_Anchor1;Y_Anchor1;X_Anchor2;Y_Achor2
601;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.026573490999990;-6.334274248180000;724185.252390779900000;9299406.235990170400000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
602;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.028957976000000;-6.332508774160000;724449.902324051130000;9299600.487222246800000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
603;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.029008200000010;-6.332790517090000;724455.338757092130000;9299569.301478203400000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
604;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.028797979999990;-6.333111178260000;724431.935389721880000;9299533.923505263400000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
605;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.027864656000010;-6.333637213650000;724328.418498525630000;9299476.141438895800000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
606;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.028228657000000;-6.333542473050000;724368.742832358110000;9299486.463419469100000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
607;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.028843966000000;-6.333382086170000;724436.907456133170000;9299503.937983777400000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
608;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.027110062999990;-6.332334390160000;724245.471589390890000;9299620.574823759500000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
609;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.027171044000000;-6.332324636450000;724252.224508605200000;9299621.627331960900000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
610;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.026978609000000;-6.332352488050000;724230.915939171910000;9299618.629788899800000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
611;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.027047244000000;-6.332343934970000;724238.515456850170000;9299619.546272277800000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
612;Burangkeng; ; ; ; ; ;0;0;0;0; ;0;Cluster Kabupaten Bekasi.kmz/Kabupaten Bekasi;0;0;0.000000000000000;-1;0; ;"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<bod";0.094151935560000;Bekasi;D:/data pribadi/atap/v3/Bekasi (2)/Bekasi.shp; ; ;107.026375788000000;-6.332320357540000;724164.216505021210000;9299622.444170046600000;724124.464915000020000;9299600.843170000200000;724659.618939999960000;9298907.278279999300000
