x,y
361.5,399.5
99.5,361.5
596.5,17.5
672.5,67.5
519.5,193.5
648.5,398.5
660.5,494.5
686.5,510.5
671.5,303.5
618.5,379.5
162.5,150.5
521.5,292.5
885.5,316.5
411.5,263.5
423.5,499.5
842.5,290.5
201.5,212.5
580.5,201.5
71.5,339.5
471.5,504.5
616.5,428.5
625.5,251.5
680.5,51.5
839.5,467.5
616.5,11.5
787.5,250.5
233.5,449.5
145.5,359.5
291.5,324.5
576.5,155.5
704.5,294.5
715.5,481.5
80.5,325.5
155.5,131.5
171.5,404.5
197.5,373.5
223.5,214.5
364.5,199.5
531.5,242.5
764.5,302.5
821.5,236.5
840.5,68.5
854.5,75.5
55.5,181.5
59.5,123.5
296.5,170.5
390.5,197.5
724.5,297.5
730.5,147.5
49.5,211.5
293.5,246.5
442.5,234.5
469.5,171.5
651.5,363.5
776.5,424.5
94.5,332.5
182.5,262.5
195.5,475.5
224.5,285.5
710.5,363.5
775.5,467.5
840.5,39.5
165.5,362.5
326.5,292.5
428.5,215.5
586.5,48.5
618.5,325.5
713.5,136.5
184.5,85.5
388.5,425.5
24.5,55.5
167.5,211.5
179.5,134.5
190.5,195.5
661.5,284.5
692.5,236.5
151.5,389.5
105.5,282.5
201.5,165.5
363.5,252.5
684.5,359.5
763.5,132.5
937.5,407.5
215.5,363.5
86.5,297.5
38.5,299.5
970.5,354.5
123.5,293.5
234.5,127.5
266.5,346.5
628.5,52.5
679.5,228.5
693.5,427.5
720.5,114.5
939.5,461.5
147.5,95.5
500.5,367.5
724.5,170.5
747.5,296.5
771.5,276.5
774.5,160.5
179.5,390.5
913.5,195.5
203.5,307.5
760.5,192.5
739.5,217.5
71.5,185.5
72.5,219.5
134.5,410.5
208.5,417.5
304.5,424.5
319.5,228.5
553.5,263.5
568.5,231.5
770.5,350.5
893.5,99.5
464.5,293.5
31.5,249.5
614.5,467.5
268.5,266.5
113.5,263.5
911.5,99.5
87.5,271.5
117.5,246.5
189.5,314.5
200.5,108.5
205.5,399.5
263.5,115.5
620.5,519.5
660.5,12.5
774.5,332.5
186.5,415.5
550.5,186.5
574.5,453.5
327.5,377.5
567.5,405.5
696.5,307.5
809.5,310.5
811.5,329.5
833.5,332.5
672.5,185.5
825.5,61.5
714.5,313.5
724.5,401.5
348.5,483.5
395.5,55.5
120.5,390.5
270.5,217.5
