x,y
112.5,152.5
133.5,256.5
132.5,327.5
202.5,494.5
94.5,171.5
549.5,303.5
627.5,175.5
739.5,238.5
780.5,149.5
112.5,171.5
212.5,236.5
383.5,98.5
174.5,299.5
192.5,299.5
815.5,310.5
96.5,298.5
242.5,73.5
166.5,501.5
549.5,329.5
846.5,469.5
266.5,420.5
245.5,277.5
388.5,324.5
651.5,240.5
347.5,99.5
384.5,147.5
550.5,60.5
61.5,369.5
75.5,80.5
132.5,212.5
244.5,211.5
245.5,235.5
339.5,501.5
677.5,239.5
60.5,279.5
114.5,327.5
364.5,50.5
580.5,117.5
389.5,347.5
439.5,189.5
37.5,28.5
74.5,57.5
241.5,25.5
406.5,324.5
551.5,394.5
700.5,140.5
821.5,364.5
40.5,172.5
54.5,460.5
75.5,107.5
630.5,326.5
346.5,22.5
387.5,275.5
58.5,153.5
372.5,417.5
436.5,48.5
672.5,116.5
793.5,364.5
55.5,508.5
56.5,28.5
115.5,386.5
188.5,55.5
251.5,483.5
403.5,98.5
403.5,119.5
19.5,29.5
41.5,214.5
42.5,298.5
132.5,171.5
132.5,194.5
150.5,56.5
154.5,278.5
190.5,170.5
209.5,55.5
275.5,503.5
359.5,518.5
531.5,118.5
707.5,298.5
741.5,367.5
38.5,81.5
99.5,502.5
112.5,106.5
113.5,212.5
114.5,298.5
171.5,151.5
187.5,25.5
188.5,78.5
191.5,236.5
245.5,297.5
441.5,324.5
441.5,388.5
556.5,142.5
796.5,27.5
923.5,444.5
579.5,81.5
834.5,487.5
39.5,129.5
95.5,213.5
154.5,299.5
365.5,71.5
405.5,232.5
581.5,328.5
632.5,394.5
703.5,201.5
782.5,170.5
39.5,108.5
93.5,57.5
348.5,190.5
387.5,251.5
628.5,241.5
646.5,58.5
215.5,299.5
285.5,364.5
340.5,519.5
603.5,59.5
709.5,367.5
729.5,511.5
20.5,58.5
40.5,153.5
57.5,108.5
60.5,298.5
61.5,346.5
95.5,237.5
134.5,299.5
172.5,170.5
244.5,168.5
252.5,503.5
266.5,439.5
347.5,120.5
407.5,390.5
423.5,274.5
424.5,346.5
626.5,141.5
650.5,201.5
740.5,264.5
857.5,360.5
373.5,437.5
420.5,70.5
440.5,209.5
738.5,201.5
247.5,439.5
820.5,163.5
778.5,56.5
133.5,237.5
189.5,343.5
216.5,434.5
244.5,149.5
313.5,501.5
348.5,166.5
356.5,461.5
367.5,166.5
629.5,267.5
676.5,201.5
683.5,394.5
733.5,115.5
404.5,165.5
696.5,26.5
369.5,275.5
111.5,27.5
282.5,252.5
407.5,346.5
620.5,519.5
678.5,266.5
21.5,130.5
22.5,154.5
41.5,195.5
94.5,128.5
152.5,151.5
250.5,460.5
298.5,297.5
330.5,167.5
330.5,276.5
349.5,251.5
408.5,436.5
436.5,70.5
604.5,117.5
705.5,265.5
779.5,104.5
785.5,215.5
801.5,149.5
816.5,58.5
832.5,351.5
132.5,345.5
367.5,373.5
648.5,116.5
172.5,211.5
176.5,414.5
438.5,164.5
151.5,78.5
548.5,29.5
822.5,174.5
43.5,327.5
131.5,127.5
152.5,171.5
386.5,233.5
425.5,499.5
742.5,394.5
799.5,128.5
841.5,384.5
27.5,346.5
58.5,195.5
113.5,237.5
151.5,105.5
157.5,435.5
211.5,124.5
244.5,101.5
245.5,253.5
264.5,25.5
275.5,483.5
314.5,297.5
370.5,296.5
390.5,437.5
405.5,210.5
448.5,460.5
650.5,175.5
708.5,324.5
742.5,322.5
135.5,258.5
779.5,80.5
171.5,125.5
403.5,147.5
191.5,151.5
582.5,29.5
97.5,345.5
60.5,257.5
55.5,487.5
314.5,519.5
212.5,193.5
871.5,343.5
63.5,435.5
76.5,129.5
136.5,413.5
192.5,278.5
390.5,390.5
575.5,269.5
681.5,325.5
778.5,27.5
780.5,128.5
797.5,80.5
153.5,128.5
174.5,278.5
403.5,249.5
653.5,267.5
369.5,251.5
407.5,370.5
583.5,394.5
366.5,100.5
132.5,106.5
732.5,79.5
174.5,211.5
381.5,21.5
96.5,327.5
97.5,368.5
156.5,413.5
330.5,252.5
399.5,500.5
420.5,49.5
423.5,251.5
425.5,480.5
579.5,175.5
603.5,81.5
734.5,140.5
28.5,388.5
62.5,413.5
93.5,80.5
195.5,413.5
282.5,297.5
366.5,98.5
367.5,391.5
402.5,22.5
406.5,275.5
742.5,298.5
92.5,173.5
194.5,301.5
195.5,434.5
204.5,496.5
551.5,305.5
581.5,303.5
627.5,269.5
421.5,164.5
436.5,98.5
530.5,29.5
172.5,193.5
577.5,242.5
272.5,16.5
216.5,278.5
400.5,49.5
798.5,102.5
625.5,30.5
654.5,325.5
25.5,257.5
608.5,394.5
627.5,200.5
700.5,13.5
45.5,434.5
296.5,99.5
861.5,316.5
23.5,195.5
115.5,368.5
171.5,105.5
912.5,481.5
79.5,235.5
96.5,279.5
115.5,345.5
153.5,193.5
296.5,121.5
331.5,297.5
381.5,462.5
405.5,190.5
606.5,268.5
631.5,367.5
674.5,141.5
850.5,332.5
56.5,155.5
154.5,257.5
255.5,357.5
391.5,373.5
551.5,331.5
605.5,176.5
710.5,394.5
20.5,81.5
112.5,81.5
262.5,6.5
329.5,23.5
330.5,149.5
580.5,83.5
799.5,104.5
114.5,153.5
407.5,326.5
348.5,51.5
350.5,233.5
405.5,347.5
408.5,438.5
702.5,141.5
190.5,193.5
313.5,210.5
816.5,113.5
31.5,460.5
94.5,152.5
111.5,79.5
133.5,505.5
366.5,147.5
573.5,200.5
656.5,394.5
813.5,239.5
79.5,328.5
174.5,256.5
351.5,418.5
556.5,118.5
23.5,173.5
29.5,435.5
312.5,100.5
438.5,147.5
110.5,129.5
114.5,173.5
149.5,103.5
152.5,54.5
190.5,57.5
348.5,148.5
350.5,297.5
383.5,49.5
76.5,153.5
347.5,72.5
402.5,71.5
40.5,82.5
58.5,238.5
59.5,109.5
79.5,299.5
247.5,278.5
298.5,209.5
331.5,100.5
367.5,233.5
805.5,170.5
80.5,414.5
132.5,385.5
154.5,237.5
190.5,126.5
312.5,483.5
426.5,461.5
581.5,143.5
850.5,334.5
858.5,303.5
77.5,237.5
113.5,256.5
174.5,193.5
264.5,210.5
367.5,324.5
848.5,280.5
866.5,328.5
43.5,369.5
112.5,127.5
113.5,526.5
133.5,278.5
281.5,234.5
312.5,72.5
389.5,371.5
422.5,209.5
424.5,520.5
582.5,367.5
826.5,333.5
24.5,214.5
113.5,194.5
359.5,501.5
171.5,79.5
58.5,81.5
79.5,257.5
97.5,347.5
298.5,235.5
331.5,190.5
350.5,211.5
425.5,325.5
45.5,388.5
21.5,110.5
32.5,462.5
93.5,28.5
95.5,195.5
159.5,470.5
244.5,122.5
319.5,357.5
441.5,296.5
654.5,301.5
656.5,368.5
711.5,366.5
55.5,5.5
77.5,256.5
244.5,192.5
368.5,99.5
398.5,480.5
584.5,442.5
747.5,478.5
852.5,291.5
18.5,6.5
25.5,279.5
59.5,213.5
62.5,387.5
79.5,346.5
149.5,26.5
209.5,25.5
210.5,103.5
211.5,210.5
312.5,463.5
330.5,210.5
349.5,275.5
383.5,517.5
405.5,251.5
447.5,498.5
675.5,175.5
679.5,299.5
697.5,57.5
837.5,303.5
805.5,191.5
94.5,296.5
243.5,279.5
350.5,295.5
682.5,464.5
740.5,298.5
59.5,173.5
282.5,149.5
443.5,369.5
850.5,290.5
116.5,412.5
132.5,152.5
193.5,413.5
313.5,98.5
329.5,192.5
629.5,302.5
25.5,298.5
56.5,58.5
190.5,210.5
264.5,52.5
264.5,121.5
280.5,100.5
313.5,120.5
398.5,462.5
406.5,295.5
878.5,361.5
42.5,279.5
61.5,327.5
93.5,107.5
130.5,79.5
134.5,386.5
136.5,434.5
151.5,126.5
265.5,297.5
280.5,24.5
297.5,252.5
299.5,438.5
312.5,51.5
329.5,120.5
337.5,461.5
338.5,481.5
348.5,233.5
385.5,190.5
783.5,191.5
790.5,244.5
808.5,213.5
824.5,187.5
950.5,526.5
386.5,210.5
190.5,124.5
368.5,347.5
174.5,238.5
925.5,446.5
91.5,129.5
109.5,81.5
134.5,239.5
313.5,24.5
448.5,480.5
607.5,368.5
937.5,513.5
93.5,26.5
38.5,60.5
57.5,129.5
95.5,257.5
97.5,435.5
130.5,106.5
133.5,507.5
189.5,151.5
191.5,256.5
281.5,72.5
281.5,191.5
425.5,369.5
531.5,142.5
624.5,59.5
629.5,300.5
704.5,239.5
816.5,31.5
817.5,126.5
825.5,270.5
827.5,201.5
840.5,255.5
140.5,493.5
654.5,30.5
38.5,58.5
77.5,213.5
78.5,279.5
80.5,387.5
115.5,434.5
128.5,486.5
129.5,27.5
169.5,26.5
173.5,236.5
281.5,167.5
281.5,211.5
283.5,419.5
297.5,191.5
315.5,438.5
346.5,50.5
366.5,119.5
384.5,119.5
390.5,417.5
419.5,22.5
421.5,147.5
425.5,389.5
551.5,367.5
671.5,79.5
682.5,367.5
803.5,169.5
254.5,501.5
605.5,242.5
288.5,17.5
345.5,8.5
350.5,235.5
368.5,389.5
606.5,202.5
60.5,238.5
77.5,126.5
382.5,481.5
386.5,145.5
441.5,189.5
441.5,273.5
208.5,78.5
11.5,91.5
42.5,257.5
77.5,194.5
80.5,368.5
97.5,387.5
97.5,413.5
214.5,278.5
313.5,22.5
314.5,166.5
344.5,72.5
422.5,232.5
844.5,268.5
37.5,6.5
264.5,191.5
25.5,237.5
27.5,327.5
32.5,487.5
44.5,413.5
81.5,434.5
111.5,57.5
130.5,56.5
170.5,55.5
264.5,149.5
265.5,234.5
296.5,148.5
329.5,72.5
330.5,233.5
331.5,418.5
348.5,210.5
357.5,481.5
367.5,190.5
402.5,49.5
422.5,189.5
553.5,81.5
604.5,141.5
625.5,80.5
648.5,141.5
670.5,58.5
797.5,55.5
816.5,101.5
818.5,139.5
856.5,452.5
73.5,213.5
27.5,259.5
805.5,167.5
40.5,296.5
321.5,359.5
28.5,369.5
74.5,28.5
282.5,277.5
330.5,147.5
332.5,437.5
369.5,209.5
385.5,165.5
441.5,369.5
647.5,80.5
699.5,78.5
732.5,57.5
739.5,25.5
803.5,278.5
820.5,151.5
56.5,81.5
242.5,52.5
73.5,5.5
134.5,367.5
176.5,435.5
246.5,420.5
264.5,73.5
264.5,100.5
264.5,168.5
265.5,252.5
283.5,438.5
296.5,167.5
313.5,148.5
314.5,276.5
329.5,51.5
329.5,99.5
351.5,438.5
399.5,517.5
421.5,119.5
437.5,119.5
439.5,250.5
442.5,436.5
481.5,519.5
836.5,244.5
866.5,438.5
