x,y
231.5,500.5
653.5,390.5
65.5,54.5
595.5,415.5
901.5,505.5
132.5,161.5
483.5,217.5
483.5,357.5
116.5,323.5
810.5,159.5
112.5,117.5
628.5,92.5
860.5,499.5
883.5,478.5
69.5,29.5
95.5,74.5
206.5,277.5
43.5,26.5
579.5,499.5
203.5,230.5
258.5,510.5
327.5,152.5
506.5,245.5
556.5,439.5
338.5,449.5
207.5,279.5
309.5,391.5
98.5,49.5
483.5,246.5
537.5,471.5
126.5,262.5
348.5,194.5
792.5,465.5
226.5,222.5
494.5,245.5
520.5,455.5
138.5,329.5
165.5,276.5
217.5,248.5
354.5,471.5
444.5,298.5
712.5,465.5
971.5,517.5
973.5,477.5
421.5,285.5
138.5,298.5
660.5,411.5
90.5,157.5
86.5,67.5
555.5,475.5
443.5,338.5
187.5,239.5
92.5,34.5
235.5,233.5
288.5,372.5
202.5,324.5
325.5,431.5
454.5,278.5
505.5,218.5
555.5,411.5
57.5,15.5
158.5,262.5
543.5,456.5
131.5,218.5
143.5,178.5
445.5,259.5
472.5,248.5
200.5,258.5
965.5,120.5
426.5,240.5
439.5,322.5
485.5,197.5
903.5,507.5
754.5,356.5
452.5,278.5
77.5,44.5
111.5,306.5
207.5,201.5
267.5,344.5
198.5,256.5
97.5,170.5
57.5,17.5
116.5,296.5
166.5,137.5
178.5,160.5
195.5,184.5
160.5,177.5
217.5,289.5
611.5,421.5
145.5,252.5
173.5,284.5
119.5,138.5
557.5,441.5
568.5,451.5
75.5,15.5
69.5,31.5
187.5,210.5
197.5,308.5
570.5,493.5
135.5,133.5
138.5,240.5
160.5,296.5
253.5,260.5
487.5,171.5
171.5,218.5
244.5,303.5
424.5,324.5
246.5,303.5
844.5,522.5
117.5,137.5
561.5,486.5
55.5,41.5
124.5,147.5
162.5,330.5
566.5,426.5
138.5,314.5
172.5,216.5
306.5,107.5
390.5,516.5
492.5,263.5
577.5,409.5
577.5,454.5
948.5,498.5
484.5,183.5
73.5,14.5
480.5,415.5
234.5,291.5
83.5,23.5
437.5,283.5
502.5,265.5
489.5,170.5
919.5,521.5
216.5,211.5
218.5,271.5
453.5,319.5
585.5,456.5
260.5,333.5
577.5,407.5
144.5,273.5
81.5,21.5
246.5,285.5
593.5,413.5
643.5,352.5
168.5,304.5
195.5,479.5
380.5,505.5
311.5,133.5
88.5,156.5
160.5,206.5
226.5,300.5
336.5,176.5
389.5,514.5
494.5,157.5
542.5,435.5
640.5,227.5
659.5,452.5
993.5,496.5
374.5,495.5
949.5,366.5
601.5,449.5
109.5,58.5
169.5,188.5
233.5,275.5
255.5,324.5
372.5,495.5
505.5,288.5
588.5,395.5
248.5,251.5
100.5,180.5
161.5,128.5
567.5,449.5
585.5,434.5
606.5,402.5
920.5,454.5
401.5,527.5
384.5,262.5
229.5,502.5
185.5,313.5
201.5,193.5
232.5,262.5
275.5,354.5
585.5,458.5
65.5,6.5
153.5,193.5
186.5,225.5
308.5,120.5
636.5,433.5
