index,x,y
0,37.142324409322946,962.814236221351
1,721.3167874014636,962.1181984257511
2,691.829064566906,952.4754141738096
3,753.257877165349,948.0825448824664
4,613.2966803148623,936.2960125968212
5,669.5749039370127,936.1120251952194
6,706.7926677163896,933.300207873029
7,595.273625196845,930.5030551182003
8,726.5978456692199,929.9532094480485
9,579.7086236219354,927.0023055114145
10,767.2398614172978,922.8416503930655
11,711.8688755904831,922.1453102357744
12,752.3143559054831,918.2386393687856
13,681.7874645668221,917.2689637781128
14,791.1370582677365,908.6068913382808
15,620.4569196850061,907.6617070868259
16,662.9064566928922,907.3061291326688
17,721.826418897533,905.5110047229632
18,542.1331653542758,904.7682519672423
19,563.9101984251555,902.979023621777
20,765.5448188975336,899.0560251953095
21,780.9424629920111,898.9625952750679
22,402.7580976377674,895.0066393707681
23,761.9101228345567,884.5987275585414
24,591.9789354329504,884.2074708657002
25,522.2983559053831,883.4270740146712
26,571.4929889763199,883.0188850389691
27,546.4666204722964,877.2198803152625
28,751.1337826771178,876.6648944879141
29,483.3503244093905,875.2418267698738
30,742.1202141731743,867.1111559060615
31,461.3793259842072,864.4003275576539
32,616.993965354198,863.2909606291553
33,396.2275275590382,862.3094929128181
34,535.4945007874154,861.8709165336579
35,555.3191811022326,859.0196409431968
36,599.9106519683961,858.3455244096245
37,705.8128629919934,858.2064377951809
38,492.71841259840437,855.2801763786106
39,790.0133291337434,853.8964157479954
40,575.7445039370164,853.560793699242
41,117.18032125976141,853.3651653528214
42,757.5740976377617,852.8993763764073
43,641.1019086613078,852.6284598421863
44,406.91497322828985,852.096907085321
45,429.21388346449595,848.7698645657441
46,689.3534740156193,848.2467779531254
47,561.2123716534005,844.6107212586666
48,743.3328377951788,843.5938771653363
49,771.388875590476,842.9179464559855
50,544.8402141730968,842.5930582669777
51,14.159319684906738,840.5200629928919
52,527.444560629939,836.4319748014916
53,662.13044409448,830.2893354329537
54,703.1349921259941,827.7919748017168
55,473.46217322836475,826.8230551180877
56,497.86114015735274,826.5429165353925
57,441.119244094498,816.3962456691922
58,761.9223685038137,813.1505385825014
59,692.22803149607,812.2340787395717
60,591.8345574802887,811.8524976377412
61,733.0943999999738,811.7595212600362
62,752.0579527558422,808.8039307087425
63,683.1272314960562,807.1188661404482
64,797.9353700787063,804.706620471684
65,466.4904566929331,804.4316220461852
66,742.6436031495962,804.3254929123901
67,674.9664755904769,802.7122393696327
68,509.2618582676363,799.8458456692733
69,717.8158866141843,799.3724976365022
70,580.3986141731538,798.0210897631532
71,660.2113511811091,796.6625763787998
72,541.5493039370288,794.2589480323115
73,228.3254929132701,793.5506645656945
74,566.5901858266883,790.7653039365302
75,758.0687622046024,788.0499401571244
76,546.3845291337747,787.0542614159622
77,484.62417637785586,786.5110677170941
78,553.2029480313457,778.6454173232627
79,515.3400944880848,777.8042456681334
80,571.4553448818917,776.8799244099714
81,470.3742992124689,776.6064377957441
82,704.6363716534977,773.4871181099434
83,728.9391874015683,771.8876220466584
84,477.3112440944657,760.9334929130208
85,492.06621732281184,756.5055496063758
86,715.4533795275556,749.3543811022765
87,661.898229921134,747.3642330695325
88,529.5949606298227,746.6923842514593
89,436.61072125972254,745.2986456681424
90,740.7294992125761,744.1641826770436
91,310.898040944901,739.7203653534566
92,554.9088755904689,736.7080818893403
93,719.5611212598526,736.0344188983046
94,467.08595905499897,733.5486992118865
95,674.3304566928134,728.9063811029974
96,750.3627590550565,722.0406425196354
97,621.9596598424076,720.9906897619953
98,679.410897637798,719.4926362206617
99,493.9718551180494,713.9577448818627
100,373.05448818899043,709.6134047236029
101,697.262059842449,699.1624062999965
102,387.05400944876624,698.972371653309
103,515.5331527559072,698.3903244095525
104,679.6958740156466,696.3418204718687
105,541.7558173228084,692.2733858269969
106,394.83378897624925,691.6422047239589
107,428.82398740155253,691.511130708409
108,747.6841322834215,691.2592629917025
109,406.50542362198587,690.109833071551
110,448.8278173228183,685.8460724391336
111,594.04663937005,679.1352944871572
112,696.8670236219572,674.8645795273968
113,477.3546330708805,668.6236724402961
114,412.73121259830833,662.0365606283578
115,702.4867275590736,660.2981291342908
116,498.6967181101089,654.4199055123516
117,514.0952692912437,648.9882708656506
118,381.57384566915783,648.8987716530252
119,526.1047937007049,647.3245228331858
120,797.8212283463694,646.0611023611909
121,769.5692598424324,637.2688629908824
122,520.9037102361129,631.4001637791085
123,403.82845984246785,630.1467212598154
124,724.3390488188097,627.4049007873836
125,449.4701858267305,627.0650456693229
126,506.96194015736654,626.9392629918151
127,462.8383748031507,622.8984944867336
128,692.2194141730901,621.4560755894879
129,779.1199748031502,620.186003149025
130,475.29857007859965,619.8293669289491
131,486.85152755906495,616.0463622048145
132,720.7658834645129,611.8024062997713
133,734.4894992124847,595.0087559054217
134,754.0898267716522,594.5178708664075
135,527.9653795274106,591.5739212599326
136,781.2348472439633,584.3760377957126
137,659.2448503936487,583.9760125969339
138,644.8416755904011,575.5850078721685
139,757.4744692912369,573.1243842511665
140,397.5180094486733,567.3829795281717
141,660.5920251968104,559.8269480297885
142,606.2765858266649,559.6579275572394
143,397.5890645668145,556.7927433064604
144,572.3539653542473,552.7052598412581
145,716.3179842519361,552.0232818896376
146,693.7298645668143,548.6350110234238
147,386.21223307078276,548.1406488193302
148,402.7106267716589,540.198803149809
149,383.86091338573243,513.9111307089723
150,783.9768188975927,511.05017952750046
151,481.9795653541961,506.2941732284591
152,452.65557165344165,505.44302362062797
153,719.2094740155997,504.92356535393424
154,416.6366740157168,503.73331653508615
155,654.2894362203601,502.78903936870455
156,404.97577322831773,501.74649448657595
157,814.1791748030801,491.1145322839106
158,511.3659968502878,485.57268661495266
159,731.5880314959433,473.84934802975243
160,413.4506834645675,466.3725354324176
161,399.39824881891565,465.55887873904913
162,803.1577700785999,464.2853291335068
163,768.0767999999518,463.0098141713405
164,678.9673322833429,461.065776378151
165,556.0013102361067,449.87731653404984
166,696.8355779527561,449.4088062996001
167,424.75902992123224,442.3158425195949
168,667.7861291337318,429.94953070850823
169,805.3228346456693,425.57525669214294
170,543.2405669291423,421.4209511805707
171,519.976062992133,421.0227401575704
172,505.19947086609017,418.34350866220126
173,494.8296566927644,401.3193070869746
174,504.1076409448906,400.3355716523223
175,521.1634393699878,399.3583370081083
176,459.27352440943866,396.8107842516711
177,483.86358425191304,395.5889385826006
178,566.7796157478817,395.1222425182973
179,550.8454299212441,393.6647055111532
180,794.4657637794304,390.5729007871132
181,432.57433700778586,386.4068031498766
182,526.8327307085705,384.0143622028546
183,551.5165228345614,380.7790866142183
184,392.6784000000146,373.13627716406126
185,529.8061606299103,365.90588976454546
186,649.3588157479805,362.8981417314274
187,526.3172031494928,350.5989543312178
188,511.3312251968529,348.2883023624345
189,457.8111496062612,342.59799684971335
190,490.40624881887766,341.81472755980303
191,560.0157732283036,341.5294488170954
192,765.2934047244196,332.28034015715593
193,525.4083023622163,331.74924094564335
194,576.0498897636852,322.47518740113327
195,529.2894236219563,319.5746267705452
196,444.6710929133174,318.39057637762835
197,580.0961007873021,309.11531338635393
198,411.7077165354542,306.5236157469862
199,547.9457763778412,305.225574802226
